path,type,rows,cols,null_count
Synchronised V abd S datasets\Categorised IOVNB Dataset\M (Driver B)\S-M.csv,Smartphone,105974,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\M (Driver B)\V-M.csv,Vehicle,105974,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S1\S-S1.csv,Smartphone,51746,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S1\V-S1.csv,Vehicle,51746,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S2\S-S2.csv,Smartphone,93876,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S2\V-S2.csv,Vehicle,93876,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3a\S-S3a.csv,Smartphone,24621,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3a\V-S3a.csv,Vehicle,24621,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3b\S-S3b.csv,Smartphone,6813,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3b\V-S3b.csv,Vehicle,6813,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3c\S-S3c.csv,Smartphone,37183,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3c\V-S3c.csv,Vehicle,37183,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S4\S-S4.csv,Smartphone,94600,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S4\V-S4.csv,Vehicle,94600,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vf (Driver E)\V-Vfa01\S-Vfa01.csv,Smartphone,11486,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vf (Driver E)\V-Vfa01\V-Vfa01.csv,Vehicle,11535,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vf (Driver E)\V-Vfa02\S-Vfa02.csv,Smartphone,67523,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vf (Driver E)\V-Vfa02\V-Vfa02.csv,Vehicle,67755,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta01a\S-Vta1a.csv,Smartphone,25676,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta01a\V-Vta1a.csv,Vehicle,25676,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta01b\S-Vta1b.csv,Smartphone,954,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta01b\V-Vta1b.csv,Vehicle,953,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta02\S-Vta2.csv,Smartphone,10991,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta02\V-vta2.csv,Vehicle,10991,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta03\S-Vta3.csv,Smartphone,645,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta03\V-vta3.csv,Vehicle,645,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta04\S-Vta4.csv,Smartphone,1789,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta04\V-vta4.csv,Vehicle,1789,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta05\S-Vta5.csv,Smartphone,307,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta05\V-vta5.csv,Vehicle,307,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta06\S-Vta6.csv,Smartphone,1376,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta06\V-vta6.csv,Vehicle,1376,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta07\S-Vta7.csv,Smartphone,840,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta07\V-vta7.csv,Vehicle,840,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta08\S-Vta8.csv,Smartphone,3676,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta08\V-vta8.csv,Vehicle,3676,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta09\S-Vta9.csv,Smartphone,156,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta09\V-vta9.csv,Vehicle,156,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta10\S-Vta10.csv,Smartphone,1502,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta10\V-vta10.csv,Vehicle,1502,29,0
